,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
0,The Shawshank Redemption,1994,142,Drama,9.3,82,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",2744211,28.34
1,The Godfather,1972,175,"Crime, Drama",9.2,100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",1908366,134.97
2,The Dark Knight,2008,152,"Action, Crime, Drama",9.0,84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2716942,534.86
3,Schindler's List,1993,195,"Biography, Drama, History",9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1384514,96.9
4,12 Angry Men,1957,96,"Crime, Drama",9.0,97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,812432,4.36
5,The Godfather Part II,1974,202,"Crime, Drama",9.0,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1300330,57.3
6,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama",9.0,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1886300,377.85
7,Pulp Fiction,1994,154,"Crime, Drama",8.9,95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2108626,107.93
8,Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2411771,292.58
9,Forrest Gump,1994,142,"Drama, Romance",8.8,82,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",2135094,330.25
10,Fight Club,1999,139,Drama,8.8,66,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,2185216,37.03
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,1915000,315.54
